H,0.3326
1H,0.3326
2H,0.000519
3H,0
He,0.00747
3He,5333.7 
4He,0
Li,70.5
6Li,940.4 
7Li,0.0454
Be,0.0076
B,767.8 
10B,3835.9 
11B,0.0055
C,0.0035
12C,0.00353
13C,0.00137
N,1.9
14N,1.91
15N,0.000024
O,0.00019
16O,0.0001
17O,0.236
18O,0.00016
F,0.0096
Ne,0.039
20Ne,0.036
21Ne,0.67
22Ne,0.046
Na,0.53
Mg,0.063
24Mg,0.05
25Mg,0.19
26Mg,0.0382
Al,0.231
Si,0.171
28Si,0.177
29Si,0.101
30Si,0.107
P,0.172
S,0.53
32S,0.54
33S,0.54
34S,0.227
36S,0.15
Cl,33.5
35Cl,44.1
37Cl,0.433
Ar,0.675
36Ar,5.2
38Ar,0.8
40Ar,0.66
K,2.1
39K,2.1
40K,35.8 
41K,1.46
Ca,0.43
40Ca,0.41
42Ca,0.68
43Ca,6.2
44Ca,0.88
46Ca,0.74
48Ca,1.09
Sc,27.5
Ti,6.09
46Ti,0.59
47Ti,1.7
48Ti,7.84
49Ti,2.2
50Ti,0.179
V,5.08
50V,60.40 
51V,4.9
Cr,3.05
50Cr,15.8
52Cr,0.76
53Cr,18.1 
54Cr,0.36
Mn,13.3
Fe,2.56
54Fe,2.25
56Fe,2.59
57Fe,2.48
58Fe,1.28
Co,37.18
Ni,4.49
58Ni,4.6
60Ni,2.9
61Ni,2.5
62Ni,14.5
64Ni,1.52
Cu,3.78
63Cu,4.5
65Cu,2.17
Zn,1.11
64Zn,0.93
66Zn,0.62
67Zn,6.8
68Zn,1.1
70Zn,0.092
Ga,2.75
69Ga,2.18
71Ga,3.61
Ge,2.2
70Ge,3
72Ge,0.8
73Ge,15.1
74Ge,0.4
76Ge,0.16
As,4.5
Se,11.7
74Se,51.8 
76Se,85.7 
77Se,42.4 
78Se,0.43
80Se,0.61
82Se,0.044
Br,6.9
79Br,11
81Br,2.7
Kr,25.1 
78Kr,6.4
80Kr,11.8
82Kr,29.20 
83Kr,185.30 
84Kr,0.113
86Kr,0.003
Rb,0.38
85Rb,0.48
87Rb,0.12
Sr,1.28
84Sr,0.87
86Sr,1.04
87Sr,16.3 
88Sr,0.058
Y,1.28
Zr,0.185
90Zr,0.011
91Zr,1.17
92Zr,0.22
94Zr,0.0499
96Zr,0.0229
Nb,1.15
Mo,2.48
92Mo,0.019
94Mo,0.015
95Mo,13.1
96Mo,0.5
97Mo,2.5
98Mo,0.127
100Mo,0.4
Tc,20.1 
Ru,2.56
96Ru,0.28
98Ru,8.0 
99Ru,6.9 
100Ru,4.8
101Ru,3.3
102Ru,1.17
104Ru,0.31
Rh,144.8
Pd,6.9
102Pd,3.4
104Pd,0.6
105Pd,20.3 
106Pd,0.304
108Pd,8.55
110Pd,0.226
Ag,63.3
107Ag,37.6 
109Ag,91.0 
Cd,2520.50 
106Cd,1
108Cd,1.1
110Cd,11
111Cd,24
112Cd,2.2
113Cd,20600.400 
114Cd,0.34
116Cd,0.075
In,193.8 
113In,12.0 
115In,202.2 
Sn,0.626
112Sn,1
114Sn,0.114
115Sn,30.7 
116Sn,0.14
117Sn,2.3
118Sn,0.22
119Sn,2.2
120Sn,0.14
122Sn,0.18
124Sn,0.133
Sb,4.91
121Sb,5.75
123Sb,3.8
Te,4.7
120Te,2.3
122Te,3.4
123Te,418.30 
124Te,6.8 
125Te,1.55
126Te,1.04
128Te,0.215
130Te,0.29
I,6.15
Xe,23.9 
124Xe,165.20 
126Xe,3.5
128Xe,8 
129Xe,21.5 
130Xe,26.0 
131Xe,85.10 
132Xe,0.45
134Xe,0.265
136Xe,0.26
Cs,29.0 
Ba,1.1
130Ba,30.5 
132Ba,7
134Ba,2.0 
135Ba,5.8
136Ba,0.68
137Ba,3.6
138Ba,0.27
La,8.97
138La,57.6 
139La,8.93
Ce,0.63
136Ce,7.3 
138Ce,1.1
140Ce,0.57
142Ce,0.95
Pr,11.5
Nd,50.5 
142Nd,18.7
143Nd,337.10 
144Nd,3.6
145Nd,42.2 
146Nd,1.4
148Nd,2.5
150Nd,1.2
Pm,168.4 
Sm,5922.56 
144Sm,0.7
147Sm,57.3 
148Sm,2.4
149Sm,42080.400 
150Sm,104.4 
152Sm,206.6 
154Sm,8.4
Eu,4530.40 
151Eu,9100.100 
153Eu,312.7 
Gd,49700.125 
152Gd,735.20 
154Gd,85.12 
155Gd,61100.400 
156Gd,1.5 
157Gd,259000.700 
158Gd,2.2
160Gd,0.77
Tb,23.4
Dy,994.13 
156Dy,33.3 
158Dy,43.6 
160Dy,56.5 
161Dy,600.25 
162Dy,194.10 
163Dy,124.7 
164Dy,2840.40 
Ho,64.7 
Er,159.4 
162Er,19.2 
164Er,13.2 
166Er,19.6 
167Er,659.16 
168Er,2.74
170Er,5.8
Tm,100.2 
Yb,34.8
168Yb,2230.40 
170Yb,11.4 
171Yb,48.6 
172Yb,0.8
173Yb,17.1 
174Yb,69.4 
176Yb,2.85
Lu,74.2 
175Lu,21.3 
176Lu,2065.35 
Hf,104.1
174Hf,561.35 
176Hf,23.5 
177Hf,373.10 
178Hf,84.4 
179Hf,41.3 
180Hf,13.04
Ta,20.6
180Ta,563.60 
181Ta,20.5
W,18.3
180W,30.20 
182W,20.7
183W,10.1
184W,1.7
186W,37.9
Re,89.71 
185Re,112.2 
187Re,76.41 
Os,16
184Os,3000.150 
186Os,80.13 
187Os,320.10 
188Os,4.7
189Os,25.4 
190Os,13.1
192Os,2
Ir,425.2 
191Ir,954.10 
193Ir,111.5 
Pt,10.3
190Pt,152.4 
192Pt,10.0 
194Pt,1.44
195Pt,27.5 
196Pt,0.72
198Pt,3.66
Au,98.65
Hg,372.3 
196Hg,3080.180 
198Hg,2
199Hg,2150.48 
200Hg,60.0
201Hg,7.8 
202Hg,4.89
204Hg,0.43
Tl,3.43
203Tl,11.4
205Tl,0.104
Pb,0.171
204Pb,0.65
206Pb,0.03
207Pb,0.699
208Pb,0.00048
Bi,0.0338
Po,5.0
At,5.0
Rn,5.0
Fr,5.0 
Ra,12.8 
Ac,5.0 
Th,7.37
Pa,200.6 
U,7.57
233U,574.7 
234U,100.1 
235U,680.9 
238U,2.68
Np,175.9 
Pu,5.0 
238Pu,558.7 
239Pu,1017.3 
240Pu,289.6 
242Pu,18.5
Am,75.3 
Cm,5.0
244Cm,16.2 
246Cm,1.36
248Cm,3
