G,71,hydrogen,20,2H
G,1140,oxygen,90,2O
G,1560,chlorine,238,2Cl
G,1505,fluorine,85,2F
G,1700,ozone,135,3O
R,1740,magnesium,1107,1Mg
R,1550,calcium,1440,1Ca
R,970,sodium,892,1Na
R,860,potassium,760,1K
R,2700,aluminum,2450,1Al
R,2330,silicon,2680,1Si
R,530,lithium,1330,1Li
R,7190,chromium,2665,1Cr
R,4510,titanium,3260,1Ti
R,7430,manganese,2150,1Mn
R,6490,zirconium,3580,1Zr
V,810,nitrogen,78,2N
V,920,water,373,2H,1O
V,1700,phosphorus_dioxide,250,1P,2O
V,1560,carbon_dioxide,194,1C,2O
V,1300,carbon_monoxide,220,1C,1O
V,1800,carbon_monosulfide,260,1C,1S
V,1000,formaldehyde,300,1C,1O,2H
V,1000,formic_acid,300,1C,2O,2H
V,415,methane,109,1C,4H
V,1000,clathrate,200,1S,2C,7O,6H
V,1050,P_clathrate,200,1S,1C,1P,7O,6H
V,770,methyl_chloride,153,1C,3H,1Cl
V,730,methyl_fluoride,136,1C,3H,1F
V,1040,methyl_bromide,170,1C,3H,1F
V,1400,methyl_iodide,190,1C,3H,1F
V,780,hydrochloride,140,1H,1Cl
V,750,hydrofluoride,160,1H,1F
V,1560,hydrobromide,160,1H,1Br
V,2500,hydroiodide,160,1H,1I
V,560,methylamine,230,1C,1N,5H
V,700,ethylamine,270,2C,1N,7H
V,500,ethane,186,2C,6H
V,960,ethyl_phosphide,300,2C,1P,8H
V,970,ethyl_chloride,225,2C,5H,1Cl
V,950,ethyl_fluoride,205,2C,5H,1F
V,817,ammonia,195,1N,3H
V,800,hydrogen_cyanide,200,1H,1C,1N
V,600,methyl_cyanide,250,3H,2C,1N
V,800,methyl_phosphide,250,3H,2C,1P
V,1700,hydrogen_sulfide,220,2H,1S
V,1800,sulfur_dioxide,250,1S,2O
V,1600,nitrogen_dioxide,220,1N,2O
V,1050,phosphine,175,1P,3H
V,126,helium,4,1He
V,1200,neon,27,1Ne
W,1500,potassium_oxide,1000,2K,1O
W,1500,lithium_oxide,1000,2Li,1O
W,1500,sodium_oxide,1000,2Na,1O
W,1500,ferrous_oxide,2000,1Fe,1O
W,1500,sodium_carbonate,900,2Na,1C,3O
W,1500,potassium_carbonate,900,2K,1C,3O
W,1400,magnesia,2000,1Mg,1O
W,1500,lime,900,1Ca,1O
W,2000,agate-opal,1000,1Si,4O,4H
W,1500,bauxite,3000,2Al,5O,4H
W,1500,ferrous_nitrate,2000,1Fe,2N,6O
W,1500,ferrous_sulfate,2000,1Fe,1S,4O
W,1500,ferrous_phosphate,2000,3Fe,2P,8O
W,1500,potassium_phosphate,900,3K,1P,4O
W,1500,potassium_sulfate,900,2K,1S,4O
W,1500,potassium_nitrate,900,1K,1N,3O
W,1500,calcium_phosphate,900,3Ca,2P,8O
W,1500,calcium_sulfate,900,1Ca,1S,4O
W,1500,calcium_nitrate,900,1Ca,2N,6O
W,1500,magnesium_phosphate,900,3Mg,2P,8O
W,1500,magnesium_nitrate,900,1Mg,2N,6O
W,1500,sodium_phosphate,900,3Na,1P,4O
W,1500,sodium_sulfate,900,2Na,1S,4O
W,1500,sodium_nitrate,900,1Na,1N,3O
W,1500,lithium_carbonate,900,2Li,1C,3O
W,1500,lithium_sulfate,900,2Li,1S,4O
W,1500,lithium_nitrate,900,1Li,1N,3O
W,1500,magnesium_fluoride,900,1Mg,2F
W,1500,magnesium_chloride,900,1Mg,2Cl
W,1500,magnesium_bromide,900,1Mg,2Br
W,1500,magnesium_iodide,900,1Mg,2I
W,1500,sodium_chloride,900,1Na,1Cl
W,1500,potassium_chloride,900,1K,1Cl
W,1500,sodium_fluoride,900,1Na,1F
W,1500,potassium_fluoride,900,1K,1F
W,1500,sodium_bromide,900,1Na,1Br
W,1500,potassium_bromide,900,1K,1Br
W,1500,sodium_iodide,900,1Na,1I
W,1500,potassium_iodide,900,1K,1I
C,2150,graphite,4830,6C
C,2600,serpentine,900,2Mg,1Fe,2Si,9O,4H
C,3700,Fe_serpentine,900,1Mg,2Fe,2Si,9O,4H
C,1800,highMg_serpentine,900,3Mg,2Si,9O,4H
C,2700,N-serpentine,900,2Mg,1Fe,2Si,14O,1H,3N
C,2700,P-serpentine,900,2Mg,1Fe,2Si,17O,1H,3P
C,1900,N-highMg_serpentine,900,3Mg,2Si,14O,1H,3N
C,2100,tremolite,900,2Ca,5Mg,8Si,24O,2H
C,2400,Fe_tremolite,900,2Ca,3Fe,2Mg,8Si,24O,2H
C,2100,montmorillonite,900,6Mg,2Al,12Si,52O,34H
C,2200,P-montmorillonite,900,6Mg,2Al,12Si,99O,22H,12P
C,2200,N-montmorillonite,900,6Mg,2Al,12Si,88O,22H,12N
C,4280,goethite,900,1H,1Fe,2O 
C,3200,biotite,900,1K,1Fe,2Mg,1Al,3Si,13O,2H 
C,2760,muscovite,900,1K,3Al,3Si,12O,2H
C,3300,calcium_mica,900,1Ca,1Fe,1Mg,1Al,3Si,13O,2H
C,3200,sodium_mica,900,1Na,3Al,3Si,12O,2H
C,3000,lithium_mica,900,1Li,3Al,3Si,12O,2H
C,2100,talc,900,3Mg,4Si,12O,2H
C,1500,borax,900,2Na,1B,4O,1H
C,3300,limonite,900,1Fe,3O,4H
C,1700,apatite,900,5Ca,1F,3P,12O
C,1700,OH_apatite,900,5Ca,3P,13O,1H
C,1800,Cl_apatite,900,5Ca,1Cl,3P,12O
C,1900,Br_apatite,900,5Ca,1Br,3P,12O
C,2000,I_apatite,900,5Ca,1I,3P,12O
C,1500,fluorite,900,1Ca,2F
C,1500,chlorite,900,1Ca,2Cl
C,1700,bromite,800,1Ca,1F,1Br
C,3100,hornblende,1800,1Ca,1Na,2Mg,2Fe,2Al,1Ti,6Si,24O,1H,1N
C,2600,Ti_hornblende,1800,1Ca,1Na,1Mg,1Fe,2Al,3Ti,6Si,24O,1H,1N
C,3600,Fe_hornblende,1800,1Ca,1Na,1Mg,3Fe,2Al,1Ti,6Si,24O,1H,1N
C,2330,Li_hornblende,1800,1Ca,1Li,3Mg,1Fe,2Al,1Ti,6Si,24O,1H,1N
C,2550,K_hornblende,1800,1Ca,1K,3Mg,1Fe,2Al,1Ti,6Si,24O,1H,1N
C,4300,carnotite,1000,1K,1Na,2U,2V,16O,5H,1N
C,1400,gypsum,900,1Ca,1S,6O,4H
C,1500,soda_niter,900,2Na,1K,3N,11O,4H
C,1200,epsom_salt,1000,1Mg,1S,11O,14H
C,1500,salt,1000,1Na,1Cl
C,1800,magnesite,1000,1Mg,1C,3O
C,1800,dolomite,1000,1Mg,1Ca,2C,6O
C,1800,calcite,1000,1Ca,1C,3O
C,2900,manganite,4300,2Mn,4O,2H
C,2390,brucite,4000,1Mg,2O,2H
C,3400,diaspore,3500,1Al,2O,1H
C,1700,phosphorite,1000,3Ca,2P,8O
C,2000,Na_zeolite,900,2Na,2Al,3Si,11O,2H
C,1800,K_zeolite,900,2K,2Al,3Si,11O,2H
C,1700,Ca_zeolite,900,1Ca,2Al,3Si,11O,2H
C,2100,Mg_zeolite,900,1Mg,2Al,3Si,11O,2H
S,4000,alumina,4000,2Al,3O
S,4000,ruby,4000,1Cr,8Al,12O
S,4000,sapphire,4000,1Fe,1Ti,10Al,15O
S,4500,zircon,5000,1Zr,1Si,4O
S,3000,zirconia,4000,1Zr,2O
S,4200,rutile,4000,1Ti,2O
S,3100,red_garnet,4000,2Mg,1Fe,2Al,3Si,12O
S,2900,Na_garnet,4000,1Mg,2Na,1Fe,2Al,3Si,12O
S,3000,Ca_garnet,4000,1Mg,1Ca,1Fe,2Al,3Si,12O
S,4400,vandium_silicate,4500,1V,1Si,4O
S,8100,wolframite,2000,1Fe,1Mn,2W,8O
S,9300,scheelite,2500,1Ca,1W,4O
S,9000,Na_scheelite,2500,2Na,1W,4O
S,3700,ytterbite,2000,1Ca,1Mg,2RE,6O
S,3500,Na_ytterbite,2000,2Na,1Mg,2RE,6O
S,2400,beryl,4500,3Be,2Al,6Si,18O
S,2400,phenacite,4500,2Be,1Si,4O
S,5000,rhodonite,2000,1Mn,1Si,3O
S,2000,boric_oxide,3500,2B,3O
S,1600,sodium_borate,3000,2Na,1B,3O
S,3600,spinel,4000,1Mg,2Al,4O
S,3500,perovskite,4000,1Ca,1Ti,3O
S,4050,geikielite,4000,1Mg,1Ti,3O
S,2900,sphene,3000,1Ca,1Ti,1Si,5O
S,4700,ilmenite,2000,1Fe,1Ti,3O
S,2600,silica,2000,1Si,2O
S,3850,olivine,2500,1Fe,1Mg,1Si,4O
S,3750,manganese_olivine,2500,1Mg,1Mn,1Si,4O
S,3700,iron_pyroxene,2200,1Fe,1Si,3O
S,3400,hypersthene,2200,1Fe,1Mg,2Si,6O
S,3650,manganese_pyroxene,2200,1Mn,1Si,3O
S,2800,enstatite,2200,1Mg,1Si,3O
S,2600,albite,1800,1Na,1Al,3Si,8O
S,2700,orthoclase,1800,1K,1Al,3Si,8O
S,2800,anorthite,1800,1Ca,1Al,3Si,8O
S,2550,lithium_feldspar,1800,1Li,1Al,3Si,8O
F,2070,sulfur,500,8S
F,7000,pitchblende,1000,2U,2Th,1Pb,1RE,2N,12O
F,7500,RE_uraninite,1000,2U,1RE,8O
F,9300,uraninite,1000,1U,3O
F,2750,barite,1000,1Ba,1S,4O
F,5060,pyrolusite,1000,1Mn,2O
F,6140,cuprite,1500,2Cu,1O
F,5600,chalcocite,1000,2Cu,1S
F,4200,chalcopyrite,1000,1Fe,1Cu,2S
F,4500,chromite,1500,1Mg,1Fe,4Cr,8O
F,7800,vanadinite,1000,5Pb,3V,12O,1Cl
F,7000,ferrovanadinite,1000,3Pb,2Fe,3V,12O,1Cl
F,9000,dry_carnotite,1000,2Na,2U,2V,6O
F,6900,cassiterite,1000,1Sn,2O
F,4500,stannite,900,2Cu,1Fe,1Sn,4S
F,3900,sphalerite,1000,1Zn,1S
F,4100,zincite,1500,1Zn,1O
F,7580,galena,500,1Pb,1S
F,7200,thorite,1500,1Th,1Si,4O
F,5180,magnetite,1500,3Fe,4O
F,5300,hematite,1000,2Fe,3O
F,5300,nickel_magnetite,1500,2Fe,1Ni,4O
F,5400,nickel_hematite,1000,1Fe,1Ni,3O
F,5020,pyrite,1000,1Fe,2S
F,5200,cobalt_pyrite,1000,1Co,2S
F,5200,nickel_pyrite,1000,1Ni,2S
F,2400,barium_sulfide,800,1Ba,1S
M,8380,nickel-iron,2850,1Ni,1Fe 
M,7300,argentite,2000,2Ag,1S
M,7860,iron,3000,1Fe
M,7610,V-iron,3200,6Fe,1V
M,7760,Cr-iron,3100,6Fe,1Cr
M,7900,Cr-nickel,3100,1Ni,1Cr
M,4600,troilite,500,1Fe,1S
M,5500,millerite,700,1Ni,1S
M,8100,cinnabar,400,1Hg,1S
M,11400,lead,1725,1Pb
M,7300,tin,2270,1Sn
M,13600,mercury,357,1Hg
M,8900,nickel,2730,1Ni
M,8900,cobalt,2900,1Co
M,19700,gold,3000,1Au
M,21400,platinum,4530,1Pt
M,10500,silver,2210,1Ag
REACTIONS
// 0 - oxidation
// 1 - reduction
// 2 - decomposition
// 3 - chloridation/fluoridation
// 4 - metal replacement
// 5 - sulfurization
// 99 - polymerization
0,1,methane,2,oxygen,=,1,carbon_dioxide,2,water
0,2,methyl_chloride,3,oxygen,=,2,carbon_dioxide,2,water,2,hydrochloride
0,4,methylamine,13,oxygen,=,4,carbon_dioxide,4,nitrogen_dioxide,10,water
0,4,ethylamine,17,oxygen,=,8,carbon_dioxide,4,nitrogen_dioxide,14,water
0,2,carbon_monoxide,1,oxygen,=,2,carbon_dioxide
0,1,carbon_monosulfide,2,oxygen,=,1,carbon_dioxide,1,sulfur_dioxide
0,2,ethane,7,oxygen,=,4,carbon_dioxide,6,water
0,2,hydrogen_sulfide,3,oxygen,=,2,water,2,sulfur_dioxide
0,4,phosphine,7,oxygen,=,6,water,4,phosphorus_dioxide
0,4,magnetite,1,oxygen,=,6,hematite
0,4,ammonia,7,oxygen,=,4,nitrogen_dioxide,6,water
0,4,troilite,7,oxygen,=,2,hematite,4,sulfur_dioxide
0,4,pyrite,11,oxygen,=,2,hematite,8,sulfur_dioxide
0,1,sulfur,8,oxygen,=,8,sulfur_dioxide
0,4,iron,3,oxygen,=,2,hematite
0,4,nickel-iron,3,oxygen,=,2,nickel_hematite
0,2,hydrogen,1,oxygen,=,2,water
0,1,formaldehyde,1,oxygen,=,1,carbon_dioxide,1,water
0,2,formaldehyde,1,oxygen,=,2,formic_acid
1,1,formic_acid,3,hydrogen,=,1,methane,2,water
1,2,hydrogen,1,oxygen,=,2,water
1,1,hydrogen,1,fluorine,=,1,hydrofluoride
1,1,hydrogen,1,chlorine,=,1,hydrochloride
1,6,hydrogen,1,ozone,=,3,water
1,1,nitrogen,3,hydrogen,=,2,ammonia
1,1,carbon_dioxide,4,hydrogen,=,1,methane,2,water
1,1,carbon_monoxide,3,hydrogen,=,1,methane,1,water
1,1,sulfur_dioxide,3,hydrogen,=,1,hydrogen_sulfide,2,water
1,2,phosphorus_dioxide,7,hydrogen,=,2,phosphine,4,water
1,2,nitrogen_dioxide,7,hydrogen,=,2,ammonia,4,water
1,3,hematite,1,hydrogen,=,2,magnetite,1,water
1,1,magnetite,1,hydrogen,3,hydrogen_sulfide,=,3,troilite,4,water
1,1,troilite,1,hydrogen,=,1,iron,1,hydrogen_sulfide
1,1,formaldehyde,2,hydrogen,=,1,methane,1,water
2,1,clathrate,=,1,sulfur_dioxide,2,carbon_dioxide,3,water
2,1,P_clathrate,=,1,sulfur_dioxide,1,carbon_dioxide,1,phosphorus_dioxide,3,water
2,8,cinnabar,=,8,mercury,1,sulfur
2,8,galena,=,8,lead,1,sulfur
2,8,troilite,=,8,iron,1,sulfur
2,8,millerite,=,8,nickel,1,sulfur
2,4,stannite,=,4,tin,4,chalcocite,4,iron,1,sulfur
2,2,ozone,=,3,oxygen
3,2,fluorine,2,methane,=,2,methyl_fluoride,1,hydrogen
3,2,chlorine,2,methane,=,2,methyl_chloride,1,hydrogen
3,2,fluorine,2,ethane,=,2,ethyl_fluoride,1,hydrogen
3,2,chlorine,2,ethane,=,2,ethyl_chloride,1,hydrogen
4,2,aluminum,1,hematite,=,1,alumina,2,iron
4,2,aluminum,4,water,=,2,diaspore,3,hydrogen
4,1,silicon,2,water,=,1,silica,2,hydrogen
4,3,silicon,2,hematite,=,3,silica,4,iron
4,1,silicon,1,hematite,=,1,iron_pyroxene,1,iron
4,6,iron,1,chromium,=,1,Cr-iron
4,1,nickel,1,chromium,=,1,Cr-nickel
4,2,ilmenite,1,titanium,=,3,rutile,2,iron
4,3,silica,2,manganese,=,2,rhodonite,1,silicon
4,2,silica,1,zirconium,=,1,zircon,1,silicon
4,1,magnesium,1,oxygen,1,hydrogen,=,1,brucite
4,1,magnesium,2,water,=,1,brucite,1,hydrogen
4,1,magnesium,1,ilmenite,=,1,iron,1,geikielite
4,1,magnesium,1,iron_pyroxene,=,1,iron,1,enstatite
4,1,magnesium,1,hypersthene,=,1,iron,2,enstatite
4,1,magnesium,1,Fe_serpentine,=,1,iron,1,serpentine
4,1,magnesium,1,serpentine,=,1,iron,1,highMg_serpentine
4,1,magnesium,1,N-serpentine,=,1,iron,1,N-highMg_serpentine
4,3,magnesium,1,Fe_tremolite,=,3,iron,1,tremolite
4,1,magnesium,2,goethite,=,1,brucite,2,iron,1,oxygen
4,4,magnesium,2,hematite,=,4,magnesia,4,iron
4,4,magnesium,1,magnetite,=,4,magnesia,3,iron
4,1,magnesium,1,limonite,=,1,magnesia,1,iron,2,water
4,1,magnesium,1,Fe_hornblende,=,1,iron,1,hornblende
4,2,magnesium,6,nitrogen_dioxide,=,4,magnesium_nitrate,1,nitrogen
4,8,magnesium,16,sulfur_dioxide,=,8,magnesium_sulfate,1,sulfur
4,12,magnesium,18,carbon_dioxide,=,12,magnesite,1,graphite
4,2,magnesium,2,carbon_monosulfide,4,carbon_dioxide,=,2,magnesite,1,graphite
4,1,magnesium,2,hydrochloride,=,1,magnesium_chloride,1,hydrogen
4,1,magnesium,2,hydrofluoride,=,1,magnesium_fluoride,1,hydrogen
4,1,magnesium,2,hydrobromide,=,1,magnesium_bromide,1,hydrogen
4,1,magnesium,2,hydroiodide,=,1,magnesium_iodide,1,hydrogen
4,12,magnesium,24,methyl_chloride,=,12,magnesium_chloride,18,methane,1,hydrogen
4,12,magnesium,24,methyl_fluoride,=,12,magnesium_fluoride,18,methane,1,hydrogen
4,12,magnesium,24,methyl_bromide,=,12,magnesium_bromide,18,methane,1,hydrogen
4,12,magnesium,24,methyl_iodide,=,12,magnesium_iodide,18,methane,1,hydrogen
4,4,sodium,2,alumina,13,silica,=,4,albite,1,silicon
4,1,sodium,1,anorthite,=,1,calcium,1,albite
4,1,sodium,1,Ca_zeolite,=,1,calcium,1,Na_zeolite
4,4,sodium,6,nitrogen_dioxide,=,4,sodium_nitrate,1,nitrogen
4,16,sodium,16,sulfur_dioxide,=,8,sodium_sulfate,1,sulfur
4,24,sodium,18,carbon_dioxide,=,12,sodium_carbonate,1,graphite
4,4,sodium,2,carbon_monosulfide,4,carbon_dioxide,=,2,sodium_carbonate,1,graphite
4,2,sodium,2,hydrochloride,=,2,salt,1,hydrogen
4,2,sodium,2,hydrofluoride,=,2,sodium_fluoride,1,hydrogen
4,2,sodium,2,hydrobromide,=,2,sodium_bromide,1,hydrogen
4,2,sodium,2,hydroiodide,=,2,sodium_iodide,1,hydrogen
4,24,sodium,24,methyl_chloride,=,24,salt,18,methane,1,hydrogen
4,24,sodium,24,methyl_fluoride,=,24,sodium_fluoride,18,methane,1,hydrogen
4,24,sodium,24,methyl_bromide,=,24,sodium_bromide,18,methane,1,hydrogen
4,24,sodium,24,methyl_iodide,=,24,sodium_iodide,18,methane,1,hydrogen
4,4,potassium,2,alumina,13,silica,=,4,orthoclase,1,silicon
4,1,potassium,1,albite,=,1,sodium,1,orthoclase
4,1,potassium,1,Na_zeolite,=,1,sodium,1,K_zeolite
4,4,lithium,2,alumina,13,silica,=,4,lithium_feldspar,1,silicon
4,4,lithium,6,nitrogen_dioxide,=,4,lithium_nitrate,1,nitrogen
4,16,lithium,16,sulfur_dioxide,=,8,lithium_sulfate,1,sulfur
4,24,lithium,18,carbon_dioxide,=,12,lithium_carbonate,1,graphite
4,4,calcium,2,alumina,13,silica,=,4,anorthite,1,silicon
4,1,calcium,1,Mg_zeolite,=,1,magnesium,1,Ca_zeolite
4,1,calcium,2,magnesite,=,1,magnesium,1,dolomite
4,1,calcium,1,dolomite,=,1,magnesium,2,calcite
4,1,calcium,1,water,=,1,lime,1,hydrogen
4,1,calcium,1,fluorine,=,1,fluorite
4,1,calcium,1,chlorine,=,1,chlorite
4,2,calcium,6,nitrogen_dioxide,=,4,calcium_nitrate,1,nitrogen
4,8,calcium,16,sulfur_dioxide,=,8,calcium_sulfate,1,sulfur
4,12,calcium,18,carbon_dioxide,=,12,calcite,1,graphite
4,2,calcium,2,carbon_monosulfide,4,carbon_dioxide,=,2,calcite,1,graphite
4,1,calcium,2,hydrochloride,=,1,calcium_chloride,1,hydrogen
4,1,calcium,2,hydrofluoride,=,1,calcium_fluoride,1,hydrogen
4,1,calcium,2,hydrobromide,=,1,calcium_bromide,1,hydrogen
4,1,calcium,2,hydroiodide,=,1,calcium_iodide,1,hydrogen
4,12,calcium,24,methyl_chloride,=,12,calcium_chloride,18,methane,1,hydrogen
4,12,calcium,24,methyl_fluoride,=,12,calcium_fluoride,18,methane,1,hydrogen
4,12,calcium,24,methyl_bromide,=,12,calcium_bromide,18,methane,1,hydrogen
4,12,calcium,24,methyl_iodide,=,12,calcium_iodide,18,methane,1,hydrogen
5,1,sulfur,8,iron,=,8,troilite
5,1,sulfur,8,nickel,=,8,millerite
5,8,mercury,1,sulfur,=,8,cinnabar
5,8,lead,1,sulfur,=,8,galena
5,1,sulfur,8,troilite,=,8,pyrite
5,1,sulfur,4,cobalt,=,4,cobalt_pyrite
5,1,sulfur,4,nickel,=,4,nickel_pyrite
5,1,sulfur,16,silver,=,8,argentite
